location,present_name,borough,name,desc
Intersection of Rossville Avenue and Veterans Road East,None,Staten Island,Lt Brendan D Pearson EMS Sta 23 Way," Lt. Brendan Drew Pearson (d. 2005) was an EMT for 25 years.  Promoted to Lieutenant when the New York Health and Hospital Corporation merged with the Fire Department, he won five “Lieutenant of the Year Awards” and was one of the first EMT Lieutenants to staff the Rossville Firehouse."
Southeast corner of Ingram Avenue and Victory Boulevard,None,Staten Island,Lt. Chuck Margiotta Way," Fire Lieutenant Chuck Margiotta (b. 1957 was killed during fire and rescue operations at the World Trade Center following the terrorist attack of September 11, 2001."
Between Arlene Street and Graham Avenue,Merrill Avenue,Staten Island,"Lt. Edward D’Atri, FDNY Avenue"," Fire Lieutenant Edward D’Atri (b. 1963) was killed at the World Trade Center during fire and rescue operations following the terrorist attack of September 11, 2001. "
Northeast corner of Hales Avenue and Koch Boulevard,none,Staten Island,"Lt. Glenn C. Perry, FDNY Avenue"," Lt. Glenn C. Perry (b. 1960) died on September 11, 2001 during fire and rescue operations following the terrorist attack on the World Trade Center."
Intersection of Locust Avenue and Clawson Street,None,Staten Island,"Lt. Harvey Harrell Corner, FDNY"," Fire Lieutenant Harvey Harrell (b. 1952) died on September 11, 2001 during fire and rescue operations following the terrorist attack on the World Trade Center"
Corner of Cromwell Avenue and Jefferson Street,None,Staten Island,Lt. James D. Hicks Way," James David Hicks (1961-1987) was commissioned as an officer in the Naval Reserve in 1984. He trained as a fighter pilot and served aboard the U.S.S. Saratoga in the Mediterranean Sea, participating in the United States action against Libya. He was tragically killed on a training mission in Stumpy Point, North Carolina."
Southwest corner of Huguenot Avenue and Hawley Avenue,None,Staten Island,"Lt. Jeffrey P. Walz, FDNY Avenue"," Fire Lieutenant Jeffrey P. Walz (b. 1964) was killed at the World Trade Center during fire and rescue operations following the terrorist attack of September 11, 2001."
Southwest corner of Oakdale Street and Preston Avenue,None,Staten Island,Lt. John H. Martinson Way," Lieutenant Martinson served in the NYPD for four years, and then in the FDNY for 14 years.  .  He was killed in the line of duty on January 3, 2008.  His family has lived near this intersection  since 1929."
Between McKinley Avenue and Gilbert Street,Thomas Street,Staten Island,"Lt. Joseph Agnello Ladder 118, FDNY Street"," Fire Lieutenant Joseph Agnello (b. 1965) was killed at the World Trade Center during fire and rescue operations following the terrorist attack of September 11, 2001. "
Southeast corner of Purcell Street and Clove road,None,Staten Island,Lt. Joseph Gullickson Way," Fire Lieutenant Joseph Gullickson (b. 1964 was killed during fire and rescue operations at the World Trade Center following the terrorist attack of September 11, 2001."
Southeast corner of Sanford Place and Slosson Avenue,None,Staten Island,Lt. Michael T. Quilty Way," Fire Lieutenant Michael T. Quilty (b. 1958) was killed during fire and rescue operations at the World Trade Center following the terrorist attack of September 11, 2001."
Between Annadale Road and Downes Avenue,North Pine Terrace,Staten Island,Lt. Paul T. Mitchell Place," Fire Lieutenant Paul T. Mitchell (b. 1955) was killed during fire and rescue operations at the World Trade Center following the terrorist attack of September 11, 2001."
Between Lincoln Avenue and Greeley Place,Oldfield Street,Staten Island,Lt. Philip S. Petti Place," Fire Lieutenant Philip S. Petti (b. 1958)  was killed during fire and rescue operations at the World Trade Center following the terrorist attack of September 11, 2001."
Intersection of Hunter Avenue and Father Capodanno Boulevard,None,Staten Island,"Lt. Stephen Harrell - FDNY, 157 Hangdown Highway"," Fire Lieutenant Stephen Harrell (b. 1957 died on September 11, 2001 during fire and rescue operations following the terrorist attack on the World Trade Center.  "
Intersection of East Raleigh Avenue at the southeast corner of North Burgher Avenue,None,Staten Island,Lt. Vic Navarra Way," Lt. Vic Navarra served (1952-2007), a New York City firefighter, participated in the early New York City Marathons.  He later became the start coordinator for the Marathons, a thankless job that involved thousands of hours of preparation each year.  Vic Navarra organized the Events Management Group and had success in Jamaica, Honolulu and Russia instructing race directors on effective ways to manage a marathon."
A park located between Targee Street and Palma Drive,None,Staten Island,Luis R. Lopez Park," Detective Luis R. Lopez was born in Honduras in 1957 and came to New York at the age of 4.  He joined the NYPD in 1985 and was promoted to detective three years later.  On March 10, 1993 he was murdered by drug dealers during in underover drug investigation.  As an officer in the 120th Precinct he had patrolled the area where this park is located."
Virginia Avenue at the southeast corner of Bay Street,None,Staten Island,Luke M. Parlatore Way," Luke M. Parlatore (1984-2002) died in 2002 from complications after a car accident, at the age of 17.  After 9/11, he volunteered for the Red Cross and obtained supplies for workers at the World Trade Center site.  He received citations from the Vietnam Veterans’ Association and the Alzheimer Foundation for his volunteer efforts."
Intersection of Avenue T and East 14th Street,None,Staten Island,Luther Mook Corner, Luther Mook (d. 2003) was a founder of the Greater Southern Brooklyn Health Coalition and  Chairman of Homecrest Community Services.  Luther Mook was also Chairman of the  Coney Island Hospital Community Advisory Board.  
On the Corner of Beach Road and Hillcrest Street,None,Staten Island,James (Jimmy) Carsten Road," James Carsten (1971-1993) had a typical Staten Island childhood. He was a delivery boy for the Advance, played Little League for a Great Kills team and was a Boy Scout. Shortly after graduating Tottenville High School and while attending Staten Island College, he died of non-Hodgkins lymphoma.  "
Intersection of King Street and Osborne Avenue,None,Staten Island,James “Pop” Colon Way," James Colon was a Korean War veteran who served in the United States Navy from 1951-1954.  He was a decorated member of the FDNY for more than 30 years, completing his career as a Fire Marshal.  "
Intersection of Whitewood Avenue  and Hart Avenue,None,Staten Island,James “Skippy” Prior Way," James “Skippy” Prior (d. 2008) a retired NYPD detective, went on to serve as Inspector General for the NYS Division of Probation and Director of Investigations for the NYC Department of Corrections.  He also served as president of the Richmond County Democratic Organization."
Intersection of School Road at the east side of Bay Street,None,Staten Island,James J. Keeley Way," Introduced by Council Member McMahon James J. Keeley (d. 2007) a World War II veteran who worked for the Sanitation Department for 32 years.  After his retirement, he was a leader in the Labetti American Legion Post, the Staats American Legion Post, and civic organizations, as a member of the Community Board, Board of Elections and Richmond County Democratic Committee."
Southeast corner of Potter Avenue and Fairview Avenue,none,Staten Island,James Lane III Way," James Lane III (b. 1994) died of a brain tumor at 8 years of age on July 2, 2002."
Southeast corner of Forest Avenue and Van Name Avenue,None,Staten Island,James Patrick Ladley Way," James Patrick Ladley (b. 1959) worked at Cantor Fitzgerald in the World Trade Center. He was killed in the terrorist attack of September 11, 2001. "
Between White Plains Avenue and Fletcher Street,Amity Street,Staten Island,James Russo Place," James Russo (1915-1995) was a D-Day veteran of World War II and a maintenance worker at Seaview Hospital.  He was the son of Vito Russo, who had helped build Our Lady of Mount Carmel Grotto on Amity Street and who maintained the shrine on a daily basis.  In 1955, after his father's death, James Russo took on the responsibility for maintaining the grotto, which he did every day until his own death in 1995. "
Between Travis Avenue and Rockland Avenue,Keating Place,Staten Island,Karen C. Renda Place," Karen C. Renda (b. 1949) worked for American Express at the World Trade center. She was killed in the terrorist attack of September, 11 2001. "
Corner of Longdale Street and Lamberts Lane,None,Staten Island,Karl Feldman Way," Karl Feldman (1984-2003) was a Ewings Sarcoma patient for 6 ½ years, enduring non-stop chemotherapy, hundreds of rounds of radiation treatment and 9 surgeries. He inspired other patients to continue treatment when they were ready to give up."
Between Forest Avenue and Richmond Terrace,Simonson Avenue,Staten Island,Kathy Kiernan Way," Kathy Kiernan (1948-1998) worked at Daytop Village Staten Island Outreach for thirteen years including serving as Director for ten of those years and was Co-Chair of the Staten Island Committee on Alcoholism and Substance Abuse (SICASA).    She was also a member of the Mid-Island Rotary Club which she served as a Vice-President. In 1995 she formed Project Connect, a teen forum co-sponsored by the Rotary Club and SICASA."
From Wilder Avenue east to the end of the street,Morton Street,Staten Island,Keith Roma Place," Keith Roma (b. 1974), a member of the New York Fire Patrol, was killed at the World Trade Center during fire and rescue operations following the terrorist attack of September 11, 2001."
At the intersection of Dongan Street and Richmond Terrace,None,Staten Island,Kenneth Cubas Way," Kenneth Cubas (1953-2001), a vice president of Fiduciary Trust Company International, worked on the 97th floor in Tower 2 of the World Trade Center.  He was killed on September 11, 2001 when, after evacuating the building,  he went back into the Tower to try and help others. (Rose)"
Between Richmond Valley Road and Bascomb Avenue,Weiner Street,Staten Island,Kenneth W. White Street," Kenneth W. White (b. 1950) worked for Cantor Fitzgerald at the World Trade Center.  He was killed in the terrorist attack of September 11, 2001."
Intersection of Midland Avenue and North Railroad Avenue,None,Staten Island,Kevin J. Walsh Way," Kevin J. Walsh (1951-2011) established Walsh Electrical Contracting in 1976.  He helped churches, schools and non-profit groups including Habitat for Humanity and Homes for Heroes, for which he donated  materials and labor to build a house for a quadriplegic veteran of the Iraq War.  "
Between Amboy Road and Hylan Boulevard,Luten Avenue,Staten Island,Kevin Sheehy Way," Kevin Sheehy (1942-2001) a longtime biology teacher at Tottenville High School, was active in many community organizations.  Among others, he served as: President of Friends of Snug Harbor; President of the South Shore Junior Chamber of Commerce; a board member  of the Greenbelt Conservancy and vice-president of the Stapleton Local Development Corporation.  He died on February 14, 2001 while participating in a charity basketball game. "
Corner of Dongan Hills Avenue and Mason Avenue,None,Staten Island,Kim Magrone Courtney Place," Kim Magrone Courtney (b. 1967) passed away on February 8, 2007. She was a dedicated member of the Friends and Families of the Children’s Cancer Fund of New York University Hospital."
"Between Ocean Terrace, and Witteman Place",Milford Drive,Staten Island,Korean War Veteran's Memorial Place," Milford Drive and Ocean Terrace is the location of the ""Korean War Veterans Memorial"" plaque, dedicated on May 18, 1996.  "
At the northeast corner of Vespa Avenue and Arden Avenue,None,Staten Island,Korean War Veterans Way, This co-naming honors the veterans who fought in the Korean War. (Ignizio)
Southeast corner of Maryland Avenue and Foxhill Terrace,None,Staten Island,Kristen L. Montanaro Way," Kristen L. Montanaro (b. 1967)  worked for Marsh & McLennan at the World Trade Center. She was killed in the terrorist attack of September 11, 2001."
Between Cannon Avenue and Glen Street,Victory Boulevard,Staten Island,Independence Way, This renames a section of Victory Boulevard that is part of the Travis Fourth of July Parade route.  It is said to be America’s oldest Fourth of July Parade.
Southeast corner of the intersection of Gregg Place and Walbrooke Avenue,None,Staten Island,Jane Ellen Baeszler Way," Jane Ellen Baeszler (b. 1958) worked for Cantor Fitzgerald at the World Trade center. She was killed in the terrorist attack of  September, 11 2001."
Southeast corner of the intersection of Hartford Avenue and Matthews Avenue,None,Staten Island,Jason DeFazio Way," Jason DeFazio (b. 1972) worked for Cantor Fitzgerald at the World Trade Center.  He was killed in the terrorist attack of September 11, 2001."
Between Queen Street and Harold Street,Gower Street,Staten Island,Jeannine LaVerde Way," Jeannine LaVerde (b. 1965) worked for Keefe, Bruyette & Woods at the World Trade Center. She was killed in the terrorist attack of September 11, 2001"
Northeast corner of Escanaba Avenue and Lamoka Avenue,None,Staten Island,Jennifer Lynn Tzemis Avenue," Jennifer Lynn Tzemis (b. 1974) worked for Fred Alger Management in the World Trade Center. She was killed in the terrorist attack of September 11, 2001."
Northwest corner of Crown Avenue and Evans Street,None,Staten Island,Jennifer M. Parisi Place “Beloved Daughter”," Jennifer Parisi (1974-2000) the beloved daughter of Cookie and Sal Parisi, was a preschool teacher at Babes in Toyland in Staten Island.  Jennifer died as a result of a very rare, congenital heart disease.  She went to sleep one night and did not wake up."
Intersection of Harvest Avenue and North Burgher Avenue,None,Staten Island,Jimmy O’ Hanlon Way, Jimmy O’ Hanlon (1949-2006) was a former Marine and Port Authority Police Officer who was a member of Team Romeo at Ground Zero rescue and recovery operations.  He also volunteered for local political organizations and charities.
At the intersection of Androvette Street and Kreischer Street,None,Staten Island,Jimmy Zappalorti Lane," Jimmy Zappalorti (1945-1990) served in Vietnam from 1962 to 1965 as a naval officer aboard the U.S.S. Henrico.  He received an honorable discharge following a nervous breakdown stemming from an incident in which he and his boyfriend were jumped.  His boyfriend was killed in the incident.  He was often a target of violence due to the fact that he was gay and had mental illness.  He was murdered by two of his neighbors which was recognized as the first anti-gay hate crime in New York City.  Ten year later, Governor Pataki signed into law the “Hate Crimes Bill.”  Mr. Zappalorti's name and murder were cited during the bill signing ceremony.  A health support group was established by the New York's LGBT community called the Zappalorti Society (Ignizio)"
Between Garibaldi Avenue and Marine Way,Cedar Grove Avenue,Staten Island,Joann Smith Tabeek Avenue," Joann Smith Tabeek (b. 1960) worked for Cantor Fitzgerald at the World Trade Center.  She was killed in the terrorist attack of September 11, 2001."
Southeast corner of Franklin Avenue and Arnold Street,none,Staten Island,Joanne K. Caputo Court," Native Staten Islander Joanne Caputo (1953-2004) of New Brighton, died in St. Vincent’s Hospital after a three year battle with breast cancer.  A former keypunch operator and bookkeeper, she served as secretary of Cottage Hill Neighborhood Corp for four years and three years as treasurer.  From 1994 to 1998 she was a team chaperone for her two daughters’ softball team, escorting the Phoenix Fast Pitch team to visits around the country.  "
In its entirety,Luna Circle,Staten Island,Joe Doyle Circle," Joe Doyle (b. 1976) worked for Cantor Fitzgerald at the World Trade Center. He was killed in the terrorist attack of September 11, 2001. "
Intersection of Hawthorne Avenue and Watchogue Road,None,Staten Island,John “Jack” P. Meade Way, John “Jack” P. Meade (1942-2010) received the Hero Award from the NYC Department of Buildings for his role in the World Trade Center Rescue Recovery Operation.  He was a leader in organizations dedicated preserving Irish culture.
Northeast corner of  Forest Avenue and Burnside Avenue,None,Staten Island,John A. Nappi Flag Way," John A. Nappi (1924-2008), known as the “flag man” was a World War II Navy veteran and a  strong supporter of Staten Island veterans organizations.  He was a member of the Fleet Reserve Association, the North Shore Veterans of Foreign Wars, the Catholic War Vets,  Naval Enlisted Reserve Association and the Elks Lodge."
Intersection of Hylan Boulevard and Mallory Avenue,none,Staten Island,John Capitano Place," John Capitano (1944-2004) was a Staten Island native.  After graduating from Georgetown University, he entered the Pallotine Seminary and earned a Masters Degree in Theology. He then left the Order and married. Returning to Staten Island, he began a career with the NYS Department of Labor in Manhattan. He was transferred to the Staten Island office and worked his way up the ladder from claims examiner to manager. "
Southeast corner of Oakland Avenue and Forest Avenue,None,Staten Island,John Connelly Way," John Connelly (b. 1954) worked for Euro Brokers at ther World Trade Center. He was killed in the terrorist attack of September 11, 2001."
Northwest corner of Tompkins Avenue and St. Mary's Avenue,none,Staten Island,John Crispino Way," John Crispino (1941-1984) led a group of neighbors in founding “Rosebank Youth and Parents” and served as its first president. When a teenager was in trouble John would get them into counseling or get them a job. When a friend was concerned over the possibility of his son losing his vision, John did research and provided the parents with the name of a doctor who specialized in the child’s problem. The child’s vision was saved.  Even in death John Crispino continued to help people as an organ donor. "
Intersection of Foster Road and Ramona Avenue,none,Staten Island,John Di Fato Avenue," John Di Fato (b. 1962) worked at Cantor Fitzgerald in the World Trade Center. He was killed in the terrorist attack September 11, 2001."
The northeast corner of the intersection of Renee Place and Hellman Avenue,None,Staten Island,John J. Badagliacca Place," John J. Badagliacca (b. 1960) worked for Cantor Fitzgerald at the World Trade Center. He was killed in the terrorist attack of September 11, 2001. "
Southeast corner of Castleton Avenue and Bodine Street,none,Staten Island,John J. Bruno Way," John J. Bruno, Sr.(1908-2003) was an employee of the Staten Island Advance for nearly 80 years.  He was also a strong supporter of his church and of Catholic education.  He  established a scholarship fund that has benefited numerous students at Mt. Carmel+St. Benedicta School in West Brighton."
Intersection of Cromwell Avenue and Richmond Road,None,Staten Island,John M. D’Amato Way, Attorney John M. D’Amato (1955-2007 spearheaded a lawsuit against the alleged Saudi Arabian financiers of the 9/11 attacks and won a landmark $75 million national settlement from the makers of OxyContin. He was a key player in New York City’s bid to host the 2012 Olympics
Between Midland Avenue and Lincoln Avenue,Mason Avenue,Staten Island,Johnny Maestro Way," Johnny Maestro (1939-2010) began his singing career with the Crests, one of the first interracial groups of the recording industry, recording rock’ n’ roll hits such as Sixteen Candles."
Intersection of Overlook Terrace and Windermere Road,None,Staten Island,Jonathan M. Acierno Way," Jonathan M. Acierno (1980-2010) a 2002 graduate of Wagner College, was a leader in numerous charitable and health-related organizations.  He also established the Disability Office for students at Wagner College.."
Underneath the Bement Avenue sign at the southeast Corner of Henderson Avenue,None,Staten Island,Jose (Joey) Manuel Pellot Way," Jose (Joey) Manuel Pellot (1973-1999) had many talents including poetry, music and photography. He was an art major at SUNY Purchase and also  competed in skateboarding and snowboarding. competitions.  "
Between Naughton Avenue and Seaver Avenue,Vera Street,Staten Island,Joseph “Joe T” Trimarche Avenue," Joseph Trimarche (1927-2007) was a coach, umpire and board member of the Staten Island Little League. He took tremendous pride in keeping the fields in the best possible condition and held the position of Head Groundskeeper for thirty years."
In its entirety,Strawberry Lane,Staten Island,Joseph “Joe” Grillo Lane," Joseph Grillo (b. 1955) worked for the Port Authority of New York and New Jersey at the World Trade Center. He was killed in the terrorist attack of September 11, 2001."
Between Rye Avenue and Arden Avenue,Annadale Road,Staten Island,Joseph A. Ianelli Road," Joseph A. Ianelli (b. 1973) worked for Marsh & McLennan at the World Trade Center. He was killed in the terrorist attack of September 11, 2001."
Between Rose Avenue and Ross Avenue,8th Street,Staten Island,Joseph Anthony DeMeo Lane," Anthony DeMeo tragically died at the age of 8 on March 19, 2005.  Anthony’s death led to greater review of household appliance safety."
Abingdon Avenue at the Northeast Corner of Augusta Avenue,None,Staten Island,Joseph Baragozza Avenue," A native Staten Islander, Joseph Baragozza (1973-2003) was a graduate of the College of Staten Island.  He was the founder of the fraternity Sigma Upsilon."
At the intersection of Nedra Lane and Arden Avenue,None,Staten Island,Joseph DeNicola Lane," 
Joseph DeNicola (2007-2014) had severe allergies to several foods as well as severe asthma.  He required a Health Para at school and often used a Nebulizer during attacks.    On Halloween night in 2014, he had a severe allergic reaction to something and went into anaphylactic shock which led to cardiac arrest.  He died four days later.  Joseph?s father decided to donate Joseph?s organs which benefited four other people and also donated Joseph?s tissue to improve the lives of as many as fifty people.  One week before his death, Governor Cuomo signed  a measure expanding access to EpiPens which schools will now keep on hand and will authorize teachers trained in their use to administer them to students even if the student doesn?t have a prescription.   (Matteo) 
"
Between Wainwright Avenue and Richmond Avenue,Laredo Avenue,Staten Island,Joseph Di Pilato Way," Joseph Di Pilato, 57, was an electrician for the Petrocelli Electric Company at the World Trade Center.  He was killed in the terrorist attack of September 11, 2001."
Between Hillside Terrace and Midland Road,Rustic Place,Staten Island,Joseph G. Visciano Way," Joseph G. Visciano (b. 1962) worked for the firm of Keefe, Bruyette & Woods at the World Trade Center.  He was killed in the terrorist attack of September 11, 2001"
Southeast corner of Ausable Avenue and Conyingham Avenue,None,Staten Island,Joseph Mandarino Way," Joseph Mandarino (d. 2003), founder and owner of North American Data Forms, was instrumental in raising funds to bring people who had been maimed by land mines, or had limbs hacked off by rebels, to Staten Island for treatment and to provide them with prosthetics.  "
Intersection of Ashland Avenue and Parkwood Avenue,none,Staten Island,Harry Taback Avenue," Harry Taback (b. 1945) worked at Marsh & McLennan Cos. Inc. in the World Trade Center. He was killed in the terrorist attack September 11, 2001."
At the intersection of Rockland Avenue and Nevada Avenue,None,Staten Island,Herbert Ellis Smith “Smitty” Way," Herbert Ellis Smith, a decorated naval veteran of the Vietnam War, began working for the NYC Department of Parks and Recreation (DPR) in 1973. Over his 37-years career, he managed more than 85 New York City Parks and supervised over 800 employees.  He was a first responder at the World Trade Center on 9/11 and joined the recovery effort as a heavy equipment operator.  He was also a volunteer and supporter of the Vietnam Veterans Memorial Fund and several other charities. (Oddo) "
Intersection of Schuyler Street and Stuyvesant Street,none,Staten Island,Honorable Mario J. Esposito Way," Mario J. Esposito (1926-2001) served as County Clerk of Richmond County from 1982 until his death. During his tenure, he greatly modernized the Office of County Clerk where all documents related to real property, including deeds and mortgages are recorded..  He was also active in many civic, church and charitable organizations."
Between Felton Street and Elson Street,Caswell Lane ,Staten Island,Hugh White Jr. Way, Hugh White Jr. (1982-2006) worked as a private contractor for the Time Warner Cable Company.  A graduate of the College of Staten Island and was planning to continue his education in Architectural Engineering.  He loved music and children and was part of the disc jockey group called the Abstract DJ’s.
between Cromwell Avenue and Garretson Avenue,Jefferson Street,Staten Island,Huttner Pasqualini American Legion Way," This designation honors men from Staten Island who served, and some of whom made the ultimate sacrifice, in World War II.  "
Corner of Wainwright Street and Pompei Avenue,None,Staten Island,Gaetano Vincent Mangano Street," Gaetano Vincent Mangano (1918-2005) was active in the Eltingville community for over 50 years. He served on Community Board 4, served as President of the Memphis Avenue Civic Association and was elected National Vice President of the American Postal Workers Union."
Northwest corner of Richard Avenue and Hylan Boulevard,None,Staten Island,George G. Srour Place," George Srour (1929-2004), a Korean War veteran and a Master Plumber, retired after 27 years of service at the City College of New York. He was active in the local VFW posts, the 40 and 8 and other veterans groups."
Between Summit Street and Academy Avenue,Yetman Avenue,Staten Island,Gina Alexa Morales Way," Gina Alexa Morales (2001-2008),  a student at P.S. 1 in Tottenville, died of complications of   asthma and became an organ donor. Her liver and two kidneys saved the lives of three people.  "
Between Katan Avenue and Genesee Avenue,Eltingville Boulevard,Staten Island,Grace Galante Boulevard," Grace Galante (b. 1972) worked for Cantor Fitzgerald at the World Trade Center. She was killed in the terrorist attack of September 11, 2001. "
The intersection of Clove Road and Castleton Avenue.,None,Staten Island,"Grandmaster Peter Siringano, Sr. Square"," Peter Siringano, Sr. (1928-1994) became interested in Jiu Jitsu at the age of 13.  After service in the US Army, during which he earned a 2d degree black belt, he opened the first school of martial arts on Staten Island.  He was one of the few people in the world to attaina a 10th degree Black Belt in Jiu-Jitsu and Karate, thus earning the title of Grandmaster.  At one time he had 12 branch schools in 5 states.  "
Underneath the Forest Avenue sign at the northwest corner of Richmond Avenue,None,Staten Island,Granite Athletic Club Way," The Granite Athletic Club was formed in 1934 at Richmond Avenue and Forest Avenue.  The Club raises money that it then uses to sponsor athletic teams, including men’s and young girls’ softball teams, football, and men’s and women’s bowling teams."
At the intersection of Husson Street and Buel Avenue,None,Staten Island,Joseph N. Esposito “Lighthouse Joe” Corner, Joseph N. Esposito volunteered as Keeper of the Staten Island Lighthouse from 1992 to 2001.  He had a key role in saving the Romer Shoals Lighthouse from destruction and helped restore the Fort Wadsworth Lighthouse.  He was also instrumental in bringing the National Lighthouse Museum to Staten Island.  He built scale models of Staten Island’ lighthouses which are on display at Fort Wadsworth and Miller Field and will eventually be placed in the National Lighthouse Museum section dedicated to him.  (Oddo)
Between Hylan Boulevard and Durrant Avenue,Justine Avenue,Staten Island,Joseph Plumitallo Way," Joseph Plumitallo (b. 1956)  worked for Cantor Fitzgerald at the World Trade Center. He was killed in the terrorist attack of September 11, 2001"
Between Veterans Road East and Clay Pit Road,Salamander Court,Staten Island,"Joseph Reina, Jr. Way"," Joseph Reina, Jr. (b. 1969)   worked for Cantor Fitzgerald at the World Trade Center. He was killed in the terrorist attack of September 11, 2001"
Northwest corner of Knesel Street and Rossville Avenue,None,Staten Island,Julius J. Deak Corner," Julius J. Deak was a community leader in Rossville.  He had started caddying at the South Shore Golf Course in 1936 and worked his way up to starter, a post he held until the golf course was sold to the city in 1966.  Mr. Deak later worked in maintenance for the S.S. White Dental Manufacturing Co. and then for the Transit Authority, from which he retired in 1985.  He was also appointed a wrestling judge for the New York State Athletic Commission.  Mr. Deak died in 1993 at the age of 75."
At the intersection of Bank Place and Newberry Avenue,None,Staten Island,Father Capodanno Place," Father Vincent R. Capodanno (1929-1967) was born in Staten Island and ordained a Roman Catholic priest in 1957.  In 1965, he joined the Navy Chaplain Corps and was assigned to the First Marine Division in Vietnam.  During operations in the Que Son Valley, the Marines encountered a large North Vietnamese unit of approximately 2,500 men.  Twenty-six Marines were killed.  Father Capodanno went among the wounded and dying, giving last rites and was killed by enemy fire.  He was posthumously awarded the Medal of Honor.  (Oddo)"
Intersection of Cedar Grove Avenue and Marine Way,None,Staten Island,Father Gannon Court," Father Robert Gannon (1935-2008) taught at Our Lady Queen of Peace Church, St. Charles Church, Holy Rosary Church, the College of Staten Island, Staten Island Catholic Summer School, St. Joseph Hill Academy and Notre Dame Academy.  "
Intersection of Huguenot Avenue and Amboy Road,None,Staten Island,Father Owen K Gartland Square," Father Gartland (1934-1994), a Bronx native, was ordained in 1959 and assigned to Our Lady Star of the Sea on Staten Island, where he served until 1973.  After serving at parishes in the Bronx and Brewster, NY, he returned to Our Lady Star of the Sea as its pastor and led the parish until 1993.  In 1990 he was elected president of the Staten Island Vicarate."
"Bounded by the Staten Island Expressway, Fahy Avenue, and Lamberts Lane.",None,Staten Island,Father Spyridon Macris Park," Father Macris, born in Brooklyn, was educated at colleges and seminaries in the US as well as the University of Athens School of Theology.  He was ordained a deacon on June 10, 1961 and enteered the priesthood the following week.  On April 15, 1984, 23 years after his ordination, he was named Protopresbyteros of the Ecumenical Patriarchate by his Holiness Patriarch Demetrios I.  Father Macris served Holy Trinity Greek Orthodox Church for 24 years, buiding its membership from 185 to 600 families, and was instrumental in the construction of the present Holy Trinity Church, opened in 1970. "
At the intersection of Getz Avenue and Katan Avenue,None,Staten Island,FDNY Capt. John R. Graziano Way," 
John R. Graziano (1951-2015) served on the FDNY for 26 years.  He was promoted to Lieutenant in 1994 and to Captain in 2003.  He died of pancreatic cancer as a result of a 9/11 related illness. (Matteo)
"
At the intersection of Kingsley Avenue and Manor Road,None,Staten Island,FDNY Lt. John “Muzz” Murray Way, John Murray served with Ladder Co. 20 in Manhattan for 14 years before being promoted to lieutenant and assigned to Engine Co. 165 in New Dorp.  He died after a 10-m0nth battle with cancer.
At the intersection of Ramblewood Avenue and Oakdale Street,None,Staten Island,FDNY Lt. Matt Ambelas Way," Lieutenant Gordon Matthew (Matt) Ambelas(1973-2014) was a 14-year veteran of the New York Fire Department.  A member of Ladder Compny 119, he was killed in the line of duty while fighting a fire at Independence Towers, a high public housing project in the Williamsburg section of Brooklyn. (Ignizio) "
Northeast corner of Rhine Avenue and Clove Road,None,Staten Island,Firefighter Allan Tarasiewicz Corner," Firefighter Allan Tarasiewicz (b. 1956) died on September 11, 2001 during fire and rescue operations following the terrorist attack on the World Trade Center"
Intersection of Livingston Avenue and Holden Boulevard,None,Staten Island,Firefighter Anthony Rodriguez Avenue," Firefighter Anthony Rodriquez (b. 1964) died on September 11, 2001 during fire and rescue operations following the terrorist attack on the World Trade Center"
"Playground at the northeast corner of Edith Avenue and Irvington Street, adjacent to I.S. 7.",Huguenot Playground,Staten Island,E.M.T. Christopher J Prescott Playground," Christopher Prescott (1972-1994) joined the Emergency Medical Service in 1993 and was assigned to Station 34 on Pennsylvania Avenue.  On June 17, 1994, while attending the victims  of a car accent at Eastern Parkway and Utica Avenue, a drunken driver crashed into the accident scene, fatally injuring EMT Prescott.  He was the first EMT killed in the line of duty since the creation of the agency in 1970."
Northeast corner of St. Marks Place and Hamilton Avenue,None,Staten Island,Earlene Bethel-Sperling Way," Earlene Bethel-Sperling (d. 1911), a worker for the NYC  Addiction Services Agency, helped found the Staten Island Minority Civic Association and, through it, the Staten Island Street Olympics.  "
Southeast corner of Richmond Avenue and Armand Street,none,Staten Island,Eddie Zambrana Jr. Way," Eddie Zambrana, Jr. (b. 1977), who was employed by Project Renewal, was killed in the terrorist attack on the World Trade Center on September 11, 2001."
Underneath the Beach Street sign at the intersection of Beach Street and Union Place,None,Staten Island,Eden II Lane," Honors the Eden II School for Autistic Children (DBA Eden II Programs), founded in 1976,  "
Northeast corner of Corbin Avenue and Barlow Avenue,None,Staten Island,Edward “Iron Man” Holder Avenue," Edward Holder (1984-2005) followed a family tradition of becoming iron worker.  After  the September 11th World Trade Center disaster, he and other family members worked untold hours cutting through the mass of debris in hope of saving lives."
At the intersection of West Fingerboard Road and Clove Road,None,Staten Island,"Edward A. Tierney, Sr. Corner"," In 1917, Edward A. Tierney, Sr. sailed aboard the first ship of U. S. Army Engineer units bound for Europe soon after the United States entered World War I.  As a color-guard sergeant, he served on various battle fields in France until the end of the war.  He was then assigned for one year to the U. S. Army of Occupation at headquarters housed in a hillside castle overlooking the Rhine.  Many members of his family have served and continue to serve in the U. S. military today.  (Oddo) "
